Number,Name,Image,Zugehörigkeit,Moved,Specialty 1,Specialty 2,Ideal Habitat,Favorite 1,Favorite 2,Favorite 3,Favorite 4,Favorite 5,Favorite 6
#202,Ceruledge,,Shared,,Burn,,Warm,Lots of fire,Stone stuff,Spooky stuff,Strange stuff,Luxury,Bitter flavors
#203,Glimmet,,Daniel,,Litter,,Dark,Stone stuff,Hard stuff,Garbage,Shiny stuff,Complicated stuff,Bitter flavors
#204,Glimmora,,Daniel,,Litter,,Dark,Stone stuff,Hard stuff,Garbage,Shiny stuff,Complicated stuff,Bitter flavors
#205,Gimmighoul,,Daniel,,Collect,,Dark,Spooky stuff,Metal stuff,Strange stuff,Shiny stuff,Complicated stuff,Bitter flavors
#206,Gholdengo,,Daniel,,Collect,,Bright,Spooky stuff,Metal stuff,Strange stuff,Shiny stuff,Complicated stuff,Dry flavors
#207,Vulpix,,Thomas,Yes,Burn,,Warm,Lots of fire,Soft stuff,Cute stuff,Round stuff,Pretty flowers,Bitter flavors
#208,Ninetales,,Thomas,,Burn,,Warm,Lots of fire,Soft stuff,Watching stuff,Luxury,Pretty flowers,Dry flavors
#209,Poliwag,,Shared,,Water,,Humid,Lots of water,Cleanliness,Round stuff,Rides,Spinning stuff,Sweet Flavors
#210,Poliwhirl,,Shared,,Water,,Humid,Lots of water,Cleanliness,Lots of nature,Exercise,Spinning stuff,Bitter flavors
#211,Poliwrath,,Shared,,Water,Build,Humid,Lots of water,Cleanliness,Construction,Exercise,Group activities,Spicy flavors
#212,Politoed,,Daniel,,Water,Hype,Humid,Lots of water,Play spaces,Noisy stuff,Gatherings,Group activities,Sour Flavors
#213,Abra,,Thomas,Yes,Teleport,,Dark,Strange stuff,Wobbly stuff,Metal stuff,Soft stuff,Watching stuff,Dry flavors
#214,Kadabra,,Thomas,,Teleport,,Dark,Strange stuff,Wobbly stuff,Metal stuff,Containers,Watching stuff,Dry flavors
#215,Alakazam,,Thomas,,Teleport,Trade,Dark,Strange stuff,Wobbly stuff,Metal stuff,Letters and words,Watching stuff,Bitter flavors
#218,Porygon,,Daniel,Yes,Recycle,,Bright,Soft stuff,Strange stuff,Blocky stuff,Construction,Colorful stuff,Bitter flavors
#219,Porygon2,,Daniel,,Recycle,,Bright,Soft stuff,Strange stuff,Round stuff,Construction,Colorful stuff,Sour Flavors
#220,Porygon-Z,,Daniel,,Rarify,,Bright,Soft stuff,Strange stuff,Fabric,Watching stuff,Colorful stuff,Dry flavors
#221,Dratini,,Daniel,Yes,Water,,Humid,Lots of water,Lots of fire,Cleanliness,Cute stuff,Slender objects,Sweet Flavors
#222,Dragonair,,Daniel,,Water,,Humid,Lots of water,Lots of fire,Cleanliness,Glass stuff,Slender objects,Sweet Flavors
#223,Dragonite,,Daniel,Yes,Water,Fly,Humid,Lots of fire,Nice breezes,Cleanliness,Symbols,Pretty flowers,Dry flavors
#224,Cyndaquil,,Daniel,,Burn,,Warm,Lots of fire,Fabric,Slender objects,Metal stuff,Rides,Sweet Flavors
#225,Quilava,,Daniel,,Burn,,Warm,Lots of fire,Fabric,Slender objects,Metal stuff,Rides,Sweet Flavors
#226,Typhlosion,,Daniel,,Burn,Trade,Warm,Lots of fire,Fabric,Slender objects,Metal stuff,Rides,Dry flavors
#227,Misdreavus,,Daniel,,Trade,,Dark,Spooky stuff,Strange stuff,Shiny stuff,Colorful stuff,Watching stuff,Dry flavors
#228,Mismagius,,Daniel,,Gather,Trade,Dark,Spooky stuff,Strange stuff,Noisy stuff,Wobbly stuff,Group activities,Bitter flavors
#229,Girafarig,,Shared,Yes,Gather,,Warm,Soft stuff,Strange stuff,Rides,Watching stuff,Slender objects,Sour Flavors
#230,Farigiraf,,Shared,,Gather,Search,Warm,Soft stuff,Strange stuff,Rides,Watching stuff,Slender objects,Sour Flavors
#231,Ralts,,Daniel,Yes,Teleport,,Bright,Strange stuff,Cute stuff,Healing,Watching stuff,Symbols,Sweet Flavors
#232,Kirlia,,Daniel,,Teleport,,Bright,Strange stuff,Cute stuff,Healing,Watching stuff,Symbols,Sweet Flavors
#233,Gardevoir,,Daniel,Yes,Teleport,Trade,Bright,Strange stuff,Luxury,Healing,Watching stuff,Symbols,Sour Flavors
#234,Gallade,,Daniel,,Teleport,Build,Bright,Strange stuff,Exercise,Healing,Construction,Fabric,Spicy flavors
#235,Plusle,,Shared,Yes,Generate,,Bright,Electronics,Glass stuff,Soft stuff,Cute stuff,Group activities,Sweet Flavors
#236,Minun,,Shared,,Generate,,Bright,Electronics,Glass stuff,Soft stuff,Cute stuff,Group activities,Spicy flavors
#237,Trapinch,,Thomas,Yes,Bulldoze,Litter,Dry,Lots of dirt,Hard stuff,Strange stuff,Watching stuff,Exercise,Spicy flavors
#238,Vibrava,,Thomas,Yes,Bulldoze,Fly,Dry,Lots of dirt,Lots of fire,Lots of nature,Luxury,Noisy stuff,Bitter flavors
#239,Flygon,,Thomas,,Bulldoze,Fly,Dry,Lots of dirt,Lots of fire,Lots of nature,Stone stuff,Wooden stuff,Sour Flavors
#240,Swablu,,Shared,Yes,Litter,,Bright,Soft stuff,Nice breezes,Cute stuff,Watching stuff,Cleanliness,Sweet Flavors
#241,Altaria,,Shared,,Litter,Fly,Bright,Soft stuff,Nice breezes,Cute stuff,Watching stuff,Noisy stuff,Sour Flavors
#242,Duskull,,Thomas,Yes,Gather,,Dark,Spooky stuff,Strange stuff,Rides,Glass stuff,Fabric,Bitter flavors
#243,Dusclops,,Thomas,Yes,Gather,,Dark,Spooky stuff,Strange stuff,Rides,Soft stuff,Containers,Sour Flavors
#244,Dusknoir,,Thomas,Yes,Gather,Trade,Dark,Spooky stuff,Strange stuff,Rides,Group activities,Containers,Bitter flavors
#245,Beldum,,Daniel,,Recycle,,Cool,Metal stuff,Strange stuff,Hard stuff,Complicated stuff,Stone stuff,Sour Flavors
#246,Metang,,Daniel,Yes,Recycle,,Cool,Metal stuff,Strange stuff,Hard stuff,Complicated stuff,Stone stuff,Bitter flavors
#247,Metagross,,Daniel,,Recycle,Crush,Cool,Metal stuff,Strange stuff,Hard stuff,Exercise,Luxury,Dry flavors
#248,Snivy,,Shared,,Grow,,Humid,Lots of nature,Wooden stuff,Lots of water,Wobbly stuff,Shiny stuff,Sour Flavors
#249,Servine,,Shared,,Grow,Litter,Humid,Lots of nature,Wooden stuff,Lots of water,Cleanliness,Shiny stuff,Bitter flavors
#250,Serperior,,Shared,,Grow,Litter,Humid,Lots of nature,Wooden stuff,Lots of water,Containers,Slender objects,Dry flavors
#251,Froakie,,Shared,Yes,Water,,Humid,Lots of water,Ocean vibes,Cleanliness,Watching stuff,Containers,Spicy flavors
#252,Frogadier,,Shared,Yes,Water,,Humid,Lots of water,Ocean vibes,Cleanliness,Watching stuff,Exercise,Spicy flavors
#253,Greninja,,Shared,,Water,Chop,Humid,Lots of water,Ocean vibes,Cleanliness,Shiny stuff,Exercise,Bitter flavors
#254,Dedenne,,Shared,,Search,,Bright,Electronics,Cute stuff,Watching stuff,Group activities,Looks like food,Sweet Flavors
#255,Noibat,,Thomas,Yes,Search,,Dark,Nice breezes,Lots of fire,Watching stuff,Luxury,Looks like food,Spicy flavors
#256,Noivern,,Thomas,Yes,Search,Fly,Dark,Nice breezes,Lots of fire,Watching stuff,Play spaces,Looks like food,Dry flavors
#257,Rookidee,,Shared,,Chop,,Bright,Nice breezes,Shiny stuff,Containers,Slender objects,Wooden stuff,Sour Flavors
#258,Corvisquire,,Shared,Yes,Chop,,Bright,Nice breezes,Shiny stuff,Containers,Slender objects,Wooden stuff,Dry flavors
#259,Corviknight,,Shared,,Chop,Fly,Bright,Nice breezes,Metal stuff,Shiny stuff,Containers,Wooden stuff,Bitter flavors
#260,Dreepy,,Shared,Yes,Gather,Search,Humid,Lots of fire,Spooky stuff,Rides,Strange stuff,Group activities,Spicy flavors
#261,Drakloak,,Shared,,Gather,Search,Humid,Lots of fire,Spooky stuff,Rides,Strange stuff,Group activities,Sweet Flavors
#262,Dragapult,,Shared,Yes,Gather,Trade,Humid,Lots of fire,Spooky stuff,Rides,Strange stuff,Group activities,Spicy flavors
#263,Sprigatito,,Shared,Yes,Grow,,Bright,Lots of nature,Pretty flowers,Containers,Colorful stuff,Cute stuff,Sweet Flavors
#264,Floragato,,Shared,,Grow,,Bright,Lots of nature,Pretty flowers,Sharp stuff,Colorful stuff,Cute stuff,Sour Flavors
#265,Meowscarada,,Shared,,Grow,Hype,Bright,Lots of nature,Pretty flowers,Shiny stuff,Luxury,Cute stuff,Dry flavors
#266,Wattrel,,Shared,,Generate,,Bright,Electronics,Nice breezes,Ocean vibes,Gatherings,Complicated stuff,Spicy flavors
#267,Kilowattrel,,Shared,,Generate,Fly,Bright,Electronics,Nice breezes,Ocean vibes,Gatherings,Slender objects,Dry flavors
#268,Tinkatink,,Daniel,Yes,Build,,Bright,Cute stuff,Metal stuff,Construction,Looks like food,Exercise,Sweet Flavors
#269,Tinkatuff,,Daniel,Yes,Build,,Bright,Cute stuff,Metal stuff,Construction,Group activities,Exercise,Sour Flavors
#270,Tinkaton,,Daniel,Yes,Engineer,,Bright,Cute stuff,Metal stuff,Construction,Blocky stuff,Exercise,Spicy flavors
#271,Aerodactyl,,Shared,,Fly,,Dry,Stone stuff,Nice breezes,Hard stuff,Shiny stuff,Spinning stuff,Sour Flavors
#272,Cranidos,,Daniel,,Crush,,Dry,Stone stuff,Hard stuff,Wobbly stuff,Group activities,Exercise,Spicy flavors
#273,Rampardos,,Daniel,,Crush,Litter,Dry,Stone stuff,Hard stuff,Metal stuff,Luxury,Exercise,Dry flavors
#274,Shieldon,,Daniel,,Crush,,Dry,Stone stuff,Hard stuff,Metal stuff,Luxury,Round stuff,Sweet Flavors
#275,Bastiodon,,Daniel,,Crush,Litter,Dry,Stone stuff,Hard stuff,Metal stuff,Luxury,Exercise,Bitter flavors
#276,Tyrunt,,Shared,,Crush,,Dry,Stone stuff,Hard stuff,Lots of fire,Luxury,Exercise,Sweet Flavors
#277,Tyrantrum,,Shared,Yes,Crush,Litter,Dry,Stone stuff,Hard stuff,Lots of fire,Luxury,Exercise,Sour Flavors
#278,Amaura,,Shared,,Crush,,Cool,Stone stuff,Hard stuff,Shiny stuff,Group activities,Containers,Dry flavors
#279,Aurorus,,Shared,,Crush,Litter,Cool,Stone stuff,Hard stuff,Shiny stuff,Noisy stuff,Symbols,Sour Flavors
#280,Eevee,,Shared,Yes,Trade,,Warm,Soft stuff,Stone stuff,Cute stuff,Letters and words,Group activities,Sweet Flavors
#281,Vaporeon,,Shared,,Water,,Humid,Lots of water,Cleanliness,Cute stuff,Pretty flowers,Watching stuff,Sweet Flavors
#282,Jolteon,,Thomas,,Generate,,Bright,Electronics,Shiny stuff,Cute stuff,Glass stuff,Sharp stuff,Spicy flavors
#283,Flareon,,Shared,,Burn,,Warm,Lots of fire,Wooden stuff,Cute stuff,Metal stuff,Rides,Spicy flavors
#284,Espeon,,Thomas,,Gather,,Bright,Strange stuff,Nice breezes,Cute stuff,Complicated stuff,Watching stuff,Sweet flavors
#285,Umbreon,,Thomas,,Search,,Dark,Shiny stuff,Luxury,Cute stuff,Letters and words,Watching stuff,Bitter flavors
#286,Leafeon,,Daniel,,Grow,,Bright,Lots of nature,Pretty flowers,Cute stuff,Fabric,Healing,Sour Flavors
#287,Glaceon,,Daniel,,Trade,,Cool,Lots of water,Shiny stuff,Cute stuff,Glass stuff,Group activities,Sweet Flavors
#288,Sylveon,,Daniel,,Hype,,Warm,Cute stuff,Lots of nature,Fabric,Noisy stuff,Round stuff,Sweet Flavors
#289,Kyogre,,Shared,,???,,Humid,Lots of water,Ocean vibes,Luxury,Shiny stuff,Glass stuff,Dry flavors
#290,Raikou,,Shared,Yes,Generate,,Bright,Electronics,Nice breezes,Shiny stuff,Glass stuff,Luxury,Dry flavors
#291,Entei,,Shared,,Burn,,Warm,Lots of fire,Stone stuff,Symbols,Exercise,Luxury,Bitter flavors
#292,Suicune,,Shared,Yes,Water,,Humid,Lots of water,Ocean vibes,Cleanliness,Watching stuff,Healing,Sour Flavors
#293,Volcanion,,Shared,,Burn,,Warm,Lots of fire,Lots of water,Stone stuff,Containers,Symbols,Spicy flavors
#294,Articuno,,Shared,,Fly,,Cool,Lots of water,Nice breezes,Shiny stuff,Symbols,Luxury,Sour Flavors
#295,Zapdos,,Shared,,Fly,,Bright,Electronics,Nice breezes,Glass stuff,Symbols,Luxury,Spicy flavors
#296,Moltres,,Shared,,Fly,,Warm,Lots of fire,Nice breezes,Stone stuff,Symbols,Luxury,Spicy flavors
#297,Lugia,,Shared,,???,,Humid,Strange stuff,Nice breezes,Lots of water,Ocean vibes,Symbols,Dry flavors
#298,Ho-Oh,,Shared,,???,,Warm,Lots of fire,Wooden stuff,Nice breezes,Lots of nature,Symbols,Spicy flavors
#299,Mewtwo,,Shared,,Teleport,,Dark,Strange stuff,Watching stuff,Letters and words,Complicated stuff,Stone stuff,Dry flavors
#300,Mew,,Shared,,Teleport,,Warm,Strange stuff,Watching stuff,Luxury,Complicated stuff,Play spaces,Sweet Flavors
